coris caudimacula,coris caudimacula,FishBase
coris formosa,coris formosa,FishBase
coryphaena equiselis,coryphaena equiselis,FishBase
coryphaena hippurus,coryphaena hippurus,FishBase
ctenochaetus binotatus,ctenochaetus binotatus,FishBase
ctenochaetus strigosus,ctenochaetus strigosus,FishBase
cymbacephalus beauforti,cymbacephalus beauforti,FishBase
cynoglossus zanzibarensis,cynoglossus zanzibarensis,FishBase
cynoglosus acaudatus,cynoglossus acaudatus,misspelling
dactylopterus volitans,dactylopterus volitans,FishBase
dascylus trimaculatus,dascyllus trimaculatus,misspelling
decapterus macarellus,decapterus macarellus,FishBase
decapterus tabl,decapterus tabl,FishBase
diagramma pictum,diagramma pictum,FishBase
dipterygonotus balteatus,dipterygonotus balteatus,FishBase
dussumieria elopsoides,dussumieria elopsoides,FishBase
echeneis naucrates,echeneis naucrates,FishBase
elagatis bipinnulata,elagatis bipinnulata,FishBase
encrasicholina puntifer,encrasicholina punctifer,misspelling
epeniphelus cearuleopucntatus,?????,
epibulus insidiator,epibulus insidiator,FishBase
epinephelus areolatus,epinephelus areolatus,FishBase
epinephelus caeruleopunctatus,epinephelus coeruleopunctatus,misspelling
epinephelus chlorostigma,epinephelus chlorostigma,FishBase
epinephelus coeruleopunctatus,epinephelus coeruleopunctatus,FishBase
epinephelus fasciatus,epinephelus fasciatus,FishBase
epinephelus flavocaeruleus,epinephelus flavocaeruleus,FishBase
epinephelus fuscoguttatus,epinephelus fuscoguttatus,FishBase
epinephelus lanceolatus,epinephelus lanceolatus,FishBase
epinephelus longispinis,epinephelus longispinis,FishBase
epinephelus macrospilos,epinephelus macrospilos,FishBase
epinephelus malabaricus,epinephelus malabaricus,FishBase
epinephelus merra,epinephelus merra,FishBase
epinephelus multinotatus,epinephelus multinotatus,FishBase
epinephelus polyphekadion,epinephelus polyphekadion,FishBase
epinephelus rivulatus,epinephelus rivulatus,FishBase
epinephelus spilotoceps,epinephelus spilotoceps,FishBase
epinephelus tukula,epinephelus tukula,FishBase
epiniphelus coides,?????,
epiniphelus merra,epinephelus merra,misspelling
epiniphelus tauvina,epinephelus tauvina,misspelling
equulites lineolatus,equulites lineolatus,FishBase
etelis carbunculus,etelis carbunculus,FishBase
etelis coruscans,etelis coruscans,FishBase
euleptorhamphus viridis,euleptorhamphus viridis,FishBase
euthynnus affinis,euthynnus affinis,FishBase
galeichthys ater,galeichthys ater,FishBase
galeocerdo cuvier,galeocerdo cuvier,FishBase
geres filamentosus,gerres filamentosus,misspelling
gerres oblongus,gerres oblongus,FishBase
gnathanodon speciosus,gnathanodon speciosus,FishBase
gnathodentex aureolineatus,gnathodentex aureolineatus,FishBase
grammatorcynus bilineatus,grammatorcynus bilineatus,FishBase
gymnocaesio gymnoptera,gymnocaesio gymnoptera,FishBase
gymnocranius elongatus,gymnocranius elongatus,FishBase
gymnocranius grandoculis,gymnocranius grandoculis,FishBase
gymnothorax favagineus,gymnothorax favagineus,FishBase
gymnothorax javanicus,gymnothorax javanicus,FishBase
gymnothorax undulatus,gymnothorax undulatus,FishBase
halichoeres scapularis,halichoeres scapularis,FishBase
halichoeres zeylonicus,halichoeres zeylonicus,FishBase
hemigymnus melapterus,hemigymnus melapterus,FishBase
hemipristis elongata,hemipristis elongata,FishBase
hemiramphus lutkei,hemiramphus lutkei,FishBase
himantura uarnak,himantura uarnak,FishBase
