Parupeneus cyclostomus
Parupeneus forsskali
Parupeneus ghanam
Parupeneus indicus
Parupeneus macronemus
Parupeneus nansen
Parupeneus pleurostigma
Parupeneus rubescens
Parupeneus trifasciatus
Pastinachus sephen
Pempheris adusta
Penaeus indicus
Penaeus semisulcatus
Pinjalo pinjalo
Platax pinnatus
Platax teira
Plectorhinchus chrysurus
Plectorhinchus chubbi
Plectorhinchus diagrammus
Plectorhinchus filamentosus
Plectorhinchus flavomaculatus
Plectorhinchus gaterinus
Plectorhinchus hamrur
Plectorhinchus pictus
Plectorhinchus picus
Plectorhinchus plagiodesmus
Plectorhinchus playfairi
Plectorhinchus schotaf
Plectorhinchus sordidus
Plectorhinchus vittatus
Plicofollis dussumieri
Plicofollis polystaphylodon
Plotosus lineatus
Polydactylus sextarius
Polysteganus coeruleopunctatus
Pomacanthus sexstriatus
Pomadasys argenteus
Pomadasys maculatus
Pomadasys multimaculatus
Portunus pelagicus
Priacanthus blochii
Priacanthus sagittarius
Pristiapogon fraenatus
Psettodes erumei
Pseudodax moluccanus
Pseudorhombus arsius
Pteragogus flagellifer
Pterocaesio capricornis
Pterocaesio chrysozona
Pterocaesio flavifasciata
Pterocaesio tile
Pterois miles
Pterophyllum scalare
Pygoplites diacanthus
Rachycentron canadum
Rastileger kanagurta
Rhabdosargus thorpei
Rhinoptera javanica
Rhynchobatus djiddensis
Sarda orientalis
Sardinella albella
Sardinella neglecta
Sargocentron violaceum
Sargocentron xantherythrum
Saurida gracilis
Saurida tumbil
Scarus caudofasciatus
Scarus chameleon
Scarus dubius
Scarus frenatus
Scarus ghobban
Scarus globiceps
Scarus leptoscarus
Scarus niger
Scarus rubroviolaceus
Scarus russelii
Scarus scaber
Scarus tricolor
Scarus undulatus
Schilbe uranoscopus
Scolopsis bimaculata
Scolopsis fasciatus
Scolopsis variegatus
Scomberoides tol
Scomberomorus commerson
Scomberomorus plurilineatus
Scylla serrata
Scyllarides tridacnophaga
Secuta minuta
Selar crumenophthalmus
Sepia latimanus
Sepia pharaonis
Sepia prashadi
Sepia trygonina
Seriolina nigrofasciata
Siganus argenteus
Siganus canaliculatus
Siganus rivulatus
Siganus stellatus
Siganus sutor
Sorsogona prionota
Sphraena jello
Sphyraena barracuda
Sphyraena forsteri
Sphyraena obtusata
Sphyraena plurilineatus
Sphyrna lewini
Spratelloides delicatulus
Spratelloides gracilis
Stethojulis strigiveuter
Stolephorus indicus
Strongylura leiura
Sufflamen fraenatum
Synodontus gracilis
Synodus binotatus
Synodus dermatogenys
Taeniamia fucata
Terrapon jarbua
Thalamita crenata
Thalamita poissoni
Thalassoma hebraicum
Thalassoma lunare
Thalassoma purpureum
Thalassoma trilobatum
Thryssa setirostris
Thryssa vitrirostris
Thunnus obesus
Thunnus tonggol
Thysanophrys chiltonae
Trachinocephalus myops
Trachinotus baillonii
Trachinotus botla
Triaenodon obesus
Tripterodon orbis
Tylosurus crocodlus
Tylosurus melanotus
Upeneus taeniopterus
Uroteuthis duvaucelii
Variola albimarginata
Xiphias gladius
Xyrichtys pavo
Xyrichtys pentadatylus
Zanclus cornutus
Zebrasoma scopas
Zebrasoma velifer
